name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bristol,2021-11-19,11.1,10,10.4,11.1,7.9,10.3,9.7,95.4,0.38,100,8.33,rain,0,0,,16.9,255,1030.5,98.8,11.3,28.6,2.4,2,,2021-11-19T07:35:15,2021-11-19T16:15:51,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-20,10,8,9.1,9.8,5.6,7.9,7.9,92.2,0.24,100,12.5,rain,0,0,,14.5,262.6,1024.2,95.6,8.8,15.8,1.3,1,,2021-11-20T07:36:54,2021-11-20T16:14:41,0.51,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-21,8,3,5.6,6.1,-1.7,2.4,2.5,80.8,0.08,100,8.33,rain,0,0,,23.7,0.7,1021.1,46.7,15,37.5,3.3,3,,2021-11-21T07:38:32,2021-11-21T16:13:34,0.52,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain clearing later.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-22,7.2,1.8,3.9,3.7,-2.8,0.2,1.6,84.8,0,0,0,,0,0,46.4,22.6,18.1,1030.8,4.5,18.7,51.4,4.5,3,,2021-11-22T07:40:10,2021-11-22T16:12:29,0.54,Clear,Clear conditions throughout the day.,clear-day,"03853099999,03743099999,03746099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-23,7.9,1.6,5,6.4,-0.6,3.1,3.8,91.7,0.06,100,4.17,rain,0,0,13,12.5,15.5,1032.2,67,10.9,22.1,2,1,,2021-11-23T07:41:46,2021-11-23T16:11:27,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-11-24,7,4.9,6.1,6.9,3.4,5.1,4.2,87.7,0,0,0,,0,0,13,10.5,297.5,1021.7,94.2,10.2,19.1,1.7,1,,2021-11-24T07:43:21,2021-11-24T16:10:28,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,C2888,EGGD"
bristol,2021-11-25,6.1,2.1,4.3,3.3,-0.9,1.4,0.9,78.9,0,0,0,,0,0,22.3,21.4,342.1,1017.5,37.7,13,49.5,4.1,2,,2021-11-25T07:44:55,2021-11-25T16:09:32,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-26,8.1,3,5.6,4.2,-2,1.3,2.7,81.7,0.96,100,29.17,rain,0,0,58.4,36.1,276.2,998.4,74.2,13,37.1,3.3,3,,2021-11-26T07:46:27,2021-11-26T16:08:38,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,C2888,EGGD"
bristol,2021-11-27,4.9,1,3.2,-0.6,-4.8,-2.6,-2.5,66.7,1.63,100,50,rain,0,0,81.2,47.3,337,999.3,75.2,14.6,23.2,2,1,,2021-11-27T07:47:58,2021-11-27T16:07:48,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D1143,D9855,03740099999,EGGD"
bristol,2021-11-28,4.9,-0.1,2.1,2,-4.5,-1.6,-2.3,73.4,0.12,100,8.33,rain,0,0,29.5,23.5,311.2,1008.5,57.8,15.8,42,3.5,2,,2021-11-28T07:49:27,2021-11-28T16:07:00,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-29,6.8,-0.4,2.4,3.8,-3.6,0.1,0.2,85.5,0.21,100,8.33,"rain,snow",0,0,22.3,25.1,257.9,1014.9,71.7,10.8,26.3,2.1,1,,2021-11-29T07:50:55,2021-11-29T16:06:15,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-11-30,10.2,6.9,9.2,10.2,2.7,6.7,8.5,95.5,0.28,100,8.33,rain,0,0,38.9,39.7,254.3,1011.1,98.8,9.5,22,1.7,1,,2021-11-30T07:52:21,2021-11-30T16:05:34,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,C2888,EGGD"
